Business Name,City,County,Phone,Address,Business Type,Source,Chain Status
TEDESCHI FAMILY WINERY,CALISTOGA,Napa,,2779 GRANT ST,Food Service,ABC License Data,INDEPENDENT
TENUTA FOPPA & AMBROSI WINES  LLC,CALISTOGA,Napa,,1380 TUCKER RD,Food Service,ABC License Data,INDEPENDENT
TOFANELLI WINES,CALISTOGA,Napa,,1212 PINE ST,Food Service,ABC License Data,INDEPENDENT
TOM EDDY WINES,CALISTOGA,Napa,,3870 STATE HIGHWAY 128,Food Service,ABC License Data,INDEPENDENT
TUMULT WINES,CALISTOGA,Napa,,8300 FRANZ VALLEY SCHOOL RD,Food Service,ABC License Data,INDEPENDENT
UPPER VALLEY BARREL STORAGE,CALISTOGA,Napa,,3 IDA LN,Bar,ABC License Data,INDEPENDENT
UPROOT WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
VENDING MACHINE WINERY  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data,INDEPENDENT
VICE VERSA WINES,CALISTOGA,Napa,,965 SILVERADO TRL,Food Service,ABC License Data,INDEPENDENT
VINCENT ARROYO WINERY  INC.,CALISTOGA,Napa,,2361 GREENWOOD AVE,Food Service,ABC License Data,INDEPENDENT
WEPPLER VINEYARDS & TEN KEY WINES,CALISTOGA,Napa,,2970 FOOTHILL BLVD,Food Service,ABC License Data,INDEPENDENT
WINEXYZ  LLC,CALISTOGA,Napa,,1471 1ST ST,Food Service,ABC License Data,INDEPENDENT
ZACHERLE WINES,CALISTOGA,Napa,,1501 CEDAR ST,Food Service,ABC License Data,INDEPENDENT
INTENTUS FINE WINES LLC,DEER PARK,Napa,,1120 DEER PARK RD,Food Service,ABC License Data,INDEPENDENT
THE SLUGGER WINE COMPANY,DEER PARK,Napa,,899 SANITARIUM RD,Food Service,ABC License Data,INDEPENDENT
1 800 WINE SHOP,NAPA,Napa,,2545 NAPA VALLEY CORPORATE DR,Food Service,ABC License Data,INDEPENDENT
