Business Name,City,County,Phone,Address,Business Type,Source
ANTHEM WINERY & VINEYARDS  LLC,NAPA,Napa,,5055 SOLANO AVE,Food Service,ABC License Data
ANTHEM WINERY & VINEYARDS LLC,NAPA,Napa,,3123 DRY CREEK RD,Food Service,ABC License Data
AONAIR WINE,NAPA,Napa,,201 DEVLIN RD,Food Service,ABC License Data
APOSTLE WINE CO.,NAPA,Napa,,4420 DUMAS ST,Food Service,ABC License Data
ARATAS WINE,NAPA,Napa,,1221 DUHIG RD,Food Service,ABC License Data
ARBARETUM AT NAPA VALLEY DISTILLERY THE,NAPA,Napa,,1149 1ST ST,Bar,ABC License Data
ARCHIVAL WINE,NAPA,Napa,,3331 KENSINGTON CIR,Food Service,ABC License Data
ARDORE WINE,NAPA,Napa,,2232 BIG RANCH RD,Food Service,ABC License Data
ART + FARM WINE,NAPA,Napa,,2185 SILVERADO TRAIL,Food Service,ABC License Data
ARTESA VINEYARDS & WINERY,NAPA,Napa,,1345 HENRY RD,Food Service,ABC License Data
ARTESA WINERY,NAPA,Napa,,1345 HENRY RD,Food Service,ABC License Data
ARTISAN WINES LLC,NAPA,Napa,,849 JACKSON ST,Food Service,ABC License Data
ASHES & DIAMONDS WINERY,NAPA,Napa,,4130 HOWARD LN,Food Service,ABC License Data
ATLAS PEAK WINE LAB,NAPA,Napa,,2431 ATLAS PEAK RD,Food Service,ABC License Data
ATLAS WINE COMPANY,NAPA,Napa,,841 LATOUR CT,Food Service,ABC License Data
AVA WINES  LLC,NAPA,Napa,,109 VALLEY CLUB CIR,Food Service,ABC License Data
AVINODOS WINES,NAPA,Napa,,901 ENTERPRISE WAY,Food Service,ABC License Data
AXIOS WINES,NAPA,Napa,,2731 & 2747 NAPA VALLEY CORPORATE DR,Food Service,ABC License Data
AXIOS WINES INC,NAPA,Napa,,221 DEVLIN RD,Food Service,ABC License Data
